Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D42","1N4148","D_SOD-123",223.837500,-50.006250,90.000000,bottom
"D43","1N4148","D_SOD-123",254.793750,-50.006250,90.000000,bottom
"D44","1N4148","D_SOD-123",285.750000,-50.006250,90.000000,bottom
"D45","1N4148","D_SOD-123",11.906250,-69.056250,90.000000,bottom
"D46","1N4148","D_SOD-123",42.862500,-69.056250,90.000000,bottom
"D47","1N4148","D_SOD-123",61.912500,-69.056250,90.000000,bottom
"D48","1N4148","D_SOD-123",80.962500,-69.056250,90.000000,bottom
"D49","1N4148","D_SOD-123",100.012500,-69.056250,90.000000,bottom
"D50","1N4148","D_SOD-123",119.062500,-69.056250,90.000000,bottom
"D51","1N4148","D_SOD-123",138.112500,-69.056250,90.000000,bottom
"D52","1N4148","D_SOD-123",157.162500,-69.056250,90.000000,bottom
"D53","1N4148","D_SOD-123",176.450000,-69.056250,90.000000,bottom
"D54","1N4148","D_SOD-123",195.262500,-69.056250,90.000000,bottom
"D55","1N4148","D_SOD-123",214.312500,-69.056250,90.000000,bottom
"D56","1N4148","D_SOD-123",240.506250,-69.056250,90.000000,bottom
"D57","1N4148","D_SOD-123",266.700000,-69.056250,90.000000,bottom
"D58","1N4148","D_SOD-123",285.750000,-69.056250,90.000000,bottom
"D59","1N4148","D_SOD-123",2.381250,-88.106250,90.000000,bottom
"D60","1N4148","D_SOD-123",26.193750,-88.106250,90.000000,bottom
"D61","1N4148","D_SOD-123",49.481250,-88.106250,90.000000,bottom
"D62","1N4148","D_SOD-123",121.443750,-88.106250,90.000000,bottom
"D63","1N4148","D_SOD-123",190.500000,-88.106250,90.000000,bottom
"D64","1N4148","D_SOD-123",214.312500,-88.106250,90.000000,bottom
"D65","1N4148","D_SOD-123",250.750000,-89.850000,90.000000,bottom
"D66","1N4148","D_SOD-123",266.700000,-88.106250,90.000000,bottom
"D67","1N4148","D_SOD-123",285.750000,-88.106250,90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",24.710000,-17.120000,0.000000,bottom
"J1","JST SH 4-pin","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",66.050000,-17.503750,270.000000,bottom
"R1","10k","R_0805_2012Metric",175.280000,-82.650000,270.000000,bottom
"R2","22","R_0805_2012Metric",32.340000,-18.753750,0.000000,bottom
"R3","22","R_0805_2012Metric",32.340000,-16.253750,0.000000,bottom
"R4","10k","R_0805_2012Metric",142.933750,-89.080000,0.000000,bottom
"SW1","Reset","SW_SPST_TL3342",180.813750,-83.615000,0.000000,bottom
"U1","SRV05-4","SOT-23-6",38.223750,-17.503750,90.000000,bottom
"U2","ATmega32U4-MU","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",154.073750,-85.810000,270.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",166.530000,-85.800000,180.000000,bottom
